product_id,name_pl,category,substitution_group,kcal_100,kcal_usda,protein_100,fat_100,carbs_100,fiber_100,cooking_tags,allergens,diet_exclusions,default_scaling,source,source_id,source_desc
P013,Krewetki (surowe),ryby,białko_chude,85.0,85.0,20.1,0.51,0.0,0.0,smażenie,skorupiaki,fish,LINIOWY,USDA SR Legacy,175179.0,"Crustaceans, shrimp, raw"
P014,Jajko kurze (całe),jaja,jajka,138.7,143.0,12.56,9.51,0.72,0.0,"smażenie,gotowanie,pieczenie",jaja,egg,DYSKRETNY,USDA SR Legacy,171287.0,"Egg, whole, raw, fresh"
P015,Białko jaja,jaja,jajka,48.1,52.0,10.9,0.17,0.73,0.0,"smażenie,pieczenie",jaja,egg,LINIOWY,USDA SR Legacy,172183.0,"Egg, white, raw, fresh"
P016,Jogurt naturalny 2%,nabiał,nabiał_chudy,63.1,63.0,5.25,1.55,7.04,0.0,na_zimno,mleko,"dairy,lactose",LINIOWY,USDA SR Legacy,170886.0,"Yogurt, plain, low fat"
P017,Jogurt grecki 0%,nabiał,nabiał_chudy,58.7,59.0,10.19,0.39,3.6,0.0,na_zimno,mleko,"dairy,lactose",LINIOWY,USDA SR Legacy,170894.0,"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)"
P018,Skyr naturalny,nabiał,nabiał_chudy,58.7,59.0,10.19,0.39,3.6,0.0,na_zimno,mleko,"dairy,lactose",LINIOWY,USDA SR Legacy,170894.0,"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)"
P019,Jogurt grecki 10%,nabiał,nabiał_tłusty,96.9,97.0,9.0,5.0,3.98,0.0,na_zimno,mleko,"dairy,lactose",LINIOWY,USDA SR Legacy,171304.0,"Yogurt, Greek, plain, whole milk"
P020,Kefir 2%,nabiał,nabiał_chudy,43.4,43.0,3.79,1.02,4.77,0.0,na_zimno,mleko,"dairy,lactose",LINIOWY,USDA SR Legacy,170904.0,"Kefir, lowfat, plain, LIFEWAY"
P021,Mleko 2%,nabiał,mleko,50.2,50.0,3.3,1.98,4.8,0.0,"gotowanie,na_zimno",mleko,"dairy,lactose",LINIOWY,USDA SR Legacy,171267.0,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
P022,Serek wiejski (cottage),nabiał,nabiał_chudy,81.3,81.0,10.45,2.27,4.76,0.0,na_zimno,mleko,"dairy,lactose",LINIOWY,USDA SR Legacy,172182.0,"Cheese, cottage, lowfat, 2% milkfat"
P023,Mozzarella light,nabiał,ser,251.4,254.0,24.26,15.92,2.77,0.0,"pieczenie,na_zimno",mleko,"dairy,lactose",LINIOWY,USDA SR Legacy,170847.0,"Cheese, mozzarella, part skim milk"
P024,Ser gouda,nabiał,ser,355.6,356.0,24.94,27.44,2.22,0.0,"pieczenie,na_zimno",mleko,"dairy,lactose",LINIOWY,USDA SR Legacy,171241.0,"Cheese, gouda"
P025,Feta,nabiał,ser,265.8,265.0,14.21,21.49,3.88,0.0,"na_zimno,pieczenie",mleko,"dairy,lactose",LINIOWY,USDA SR Legacy,173420.0,"Cheese, feta"
P026,Parmezan tarty,nabiał,ser,419.9,420.0,28.42,27.84,13.91,0.0,"na_zimno,pieczenie",mleko,dairy,TŁUMIONY,USDA SR Legacy,171247.0,"Cheese, parmesan, grated"
P027,Śmietana 18%,nabiał,dodatek_tłuszczowy,202.4,198.0,2.44,19.35,4.63,0.0,"gotowanie,na_zimno",mleko,"dairy,lactose",TŁUMIONY,USDA SR Legacy,171257.0,"Cream, sour, cultured"
P028,Masło,tłuszcze,tłuszcz,733.6,717.0,0.85,81.11,0.06,0.0,"smażenie,pieczenie",mleko,dairy,LINIOWY,USDA SR Legacy,173430.0,"Butter, without salt"
P029,Tofu twarde,roślinne,białko_roślinne,158.7,144.0,17.27,8.72,2.78,2.3,"smażenie,pieczenie",soja,,LINIOWY,USDA SR Legacy,172475.0,"Tofu, raw, firm, prepared with calcium sulfate"
P030,Tempeh,roślinne,białko_roślinne,208.9,192.0,20.29,10.8,7.64,0.0,smażenie,soja,,LINIOWY,USDA SR Legacy,174272.0,Tempeh
P031,Soczewica czerwona (sucha),strączki,strączki,361.5,352.0,24.63,1.06,63.35,10.7,gotowanie,,,LINIOWY,USDA SR Legacy,172420.0,"Lentils, raw"
P032,Ciecierzyca z puszki (odsączona),strączki,strączki,143.2,139.0,7.05,2.77,22.53,6.4,"na_zimno,pieczenie,gotowanie",,,LINIOWY,USDA SR Legacy,173800.0,"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained solids"
P033,Fasola czerwona z puszki (odsączona),strączki,strączki,127.3,124.0,7.98,1.05,21.49,5.5,"na_zimno,gotowanie",,,LINIOWY,USDA SR Legacy,174285.0,"Beans, kidney, red, mature seeds, canned, drained solids"
P034,Fasola biała z puszki (odsączona),strączki,strączki,116.4,114.0,7.26,0.29,21.2,4.8,gotowanie,,,LINIOWY,USDA SR Legacy,175204.0,"Beans, white, mature seeds, canned"
P035,Edamame (mrożone),strączki,strączki,117.9,109.0,11.22,4.73,7.61,4.8,gotowanie,soja,,LINIOWY,USDA SR Legacy,168410.0,"Edamame, frozen, unprepared"
P036,Hummus,roślinne,pasta_smarowanie,251.5,237.0,7.78,17.82,15.0,5.5,na_zimno,sezam,,LINIOWY,USDA SR Legacy,174289.0,"Hummus, commercial"
P037,Napój sojowy,roślinne,mleko,54.0,54.0,3.27,1.75,6.28,0.6,"gotowanie,na_zimno",soja,,LINIOWY,USDA SR Legacy,172446.0,"Soymilk, original and vanilla, unfortified"
P038,Ryż biały (suchy),zboża,kasza_ryż,354.3,365.0,7.13,0.66,79.95,1.3,gotowanie,,,LINIOWY,USDA SR Legacy,169756.0,"Rice, white, long-grain, regular, raw, unenriched"
P039,Ryż brązowy (suchy),zboża,kasza_ryż,364.0,367.0,7.54,3.2,76.25,3.6,gotowanie,,,LINIOWY,USDA SR Legacy,169703.0,"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)"
P040,Kasza gryczana (sucha),zboża,kasza_ryż,371.1,346.0,11.73,2.71,74.95,10.3,gotowanie,,,LINIOWY,USDA SR Legacy,170685.0,"Buckwheat groats, roasted, dry"
P041,Kasza jaglana (sucha),zboża,kasza_ryż,373.5,378.0,11.02,4.22,72.85,8.5,gotowanie,,,LINIOWY,USDA SR Legacy,169702.0,"Millet, raw"
P042,Kasza pęczak (sucha),zboża,kasza_ryż,361.0,352.0,9.91,1.16,77.72,15.6,gotowanie,gluten,gluten,LINIOWY,USDA SR Legacy,170284.0,"Barley, pearled, raw"
P043,Kasza bulgur (sucha),zboża,kasza_ryż,364.6,342.0,12.29,1.33,75.87,12.5,gotowanie,gluten,gluten,LINIOWY,USDA SR Legacy,170688.0,"Bulgur, dry"
P044,Kuskus (suchy),zboża,kasza_ryż,366.5,376.0,12.76,0.64,77.43,5.0,gotowanie,gluten,gluten,LINIOWY,USDA SR Legacy,169699.0,"Couscous, dry"
P045,Komosa ryżowa (sucha),zboża,kasza_ryż,367.8,368.0,14.12,6.07,64.16,7.0,gotowanie,,,LINIOWY,USDA SR Legacy,168874.0,"Quinoa, uncooked"
P046,Makaron pszenny (suchy),zboża,makaron,364.4,371.0,13.04,1.51,74.67,3.2,gotowanie,gluten,gluten,LINIOWY,USDA SR Legacy,168927.0,"Pasta, dry, unenriched"
P047,Makaron pełnoziarnisty (suchy),zboża,makaron,375.3,352.0,13.87,2.93,73.37,9.2,gotowanie,gluten,gluten,LINIOWY,USDA SR Legacy,169738.0,"Pasta, whole-wheat, dry (Includes foods for USDA's Food Distribution Program)"
P048,Makaron ryżowy (suchy),zboża,makaron,349.6,364.0,5.95,0.56,80.18,1.6,gotowanie,,,LINIOWY,USDA SR Legacy,169742.0,"Rice noodles, dry"
P049,Płatki owsiane,zboża,płatki,382.1,379.0,13.15,6.52,67.7,10.1,"gotowanie,na_zimno",gluten?,,LINIOWY,USDA SR Legacy,173904.0,"Cereals, oats, regular and quick, not fortified, dry"
P050,Ziemniaki (surowe),warzywa_skrobiowe,skrobiowe,79.0,77.0,2.05,0.09,17.49,2.1,"gotowanie,pieczenie",,,LINIOWY,USDA SR Legacy,170026.0,"Potatoes, flesh and skin, raw"
P051,Batat (surowy),warzywa_skrobiowe,skrobiowe,87.2,86.0,1.57,0.05,20.12,3.0,"pieczenie,gotowanie",,,LINIOWY,USDA SR Legacy,168482.0,"Sweet potato, raw, unprepared (Includes foods for USDA's Food Distribution Program)"
P052,Chleb żytni,pieczywo,pieczywo,256.9,259.0,8.5,3.3,48.3,5.8,na_zimno,gluten,gluten,DYSKRETNY,USDA SR Legacy,172684.0,"Bread, rye"
P053,Chleb pełnoziarnisty,pieczywo,pieczywo,252.1,252.0,12.45,3.5,42.71,6.0,na_zimno,gluten,gluten,DYSKRETNY,USDA SR Legacy,172688.0,"Bread, whole-wheat, commercially prepared"
P054,Tortilla pszenna,pieczywo,pieczywo,302.2,306.0,8.2,7.99,49.38,3.5,"na_zimno,smażenie",gluten,gluten,DYSKRETNY,USDA SR Legacy,175037.0,"Tortillas, ready-to-bake or -fry, flour, refrigerated"
P055,Mąka pszenna,zboża,mąka,355.4,364.0,10.33,0.98,76.31,2.7,"pieczenie,smażenie",gluten,gluten,LINIOWY,USDA SR Legacy,169761.0,"Wheat flour, white, all-purpose, unenriched"
P056,Mąka pełnoziarnista,zboża,mąka,363.2,340.0,13.21,2.5,71.97,10.7,"pieczenie,smażenie",gluten,gluten,LINIOWY,USDA SR Legacy,168893.0,"Wheat flour, whole-grain (Includes foods for USDA's Food Distribution Program)"
P057,Miód,słodkie,słodzik,330.8,304.0,0.3,0.0,82.4,0.2,na_zimno,,,TŁUMIONY,USDA SR Legacy,169640.0,Honey
P058,Dżem,słodkie,słodzik,277.6,278.0,0.37,0.07,68.86,1.1,na_zimno,,,TŁUMIONY,USDA SR Legacy,169641.0,Jams and preserves
P059,Oliwa z oliwek,tłuszcze,tłuszcz,900.0,884.0,0.0,100.0,0.0,0.0,"smażenie,na_zimno",,,LINIOWY,USDA SR Legacy,171413.0,"Oil, olive, salad or cooking"
P060,Olej rzepakowy,tłuszcze,tłuszcz,900.0,884.0,0.0,100.0,0.0,0.0,smażenie,,,LINIOWY,USDA SR Legacy,172336.0,"Oil, canola"
P061,Masło orzechowe,tłuszcze,orzechy_pasty,640.3,598.0,22.21,51.36,22.31,5.0,na_zimno,orzechy_ziemne,,LINIOWY,USDA SR Legacy,172470.0,"Peanut butter, smooth style, without salt"
P062,Orzechy włoskie,tłuszcze,orzechy,702.6,654.0,15.23,65.21,13.71,6.7,na_zimno,orzechy,,LINIOWY,USDA SR Legacy,170187.0,"Nuts, walnuts, english"
P063,Migdały,tłuszcze,orzechy,620.2,579.0,21.15,49.93,21.55,12.5,na_zimno,orzechy,,LINIOWY,USDA SR Legacy,170567.0,"Nuts, almonds"
P064,Orzechy nerkowca,tłuszcze,orzechy,588.3,553.0,18.22,43.85,30.19,3.3,"na_zimno,smażenie",orzechy,,LINIOWY,USDA SR Legacy,170162.0,"Nuts, cashew nuts, raw"
P065,Nasiona chia,tłuszcze,nasiona,511.3,486.0,16.54,30.74,42.12,34.4,na_zimno,,,LINIOWY,USDA SR Legacy,170554.0,"Seeds, chia seeds, dried"
P066,Siemię lniane,tłuszcze,nasiona,568.1,534.0,18.29,42.16,28.88,27.3,na_zimno,,,LINIOWY,USDA SR Legacy,169414.0,"Seeds, flaxseed"
P067,Pestki dyni,tłuszcze,nasiona,605.2,559.0,30.23,49.05,10.71,6.0,na_zimno,,,LINIOWY,USDA SR Legacy,170556.0,"Seeds, pumpkin and squash seed kernels, dried"
P068,Słonecznik łuskany,tłuszcze,nasiona,626.3,584.0,20.78,51.46,20.0,8.6,na_zimno,,,LINIOWY,USDA SR Legacy,170562.0,"Seeds, sunflower seed kernels, dried"
P069,Awokado,tłuszcze,tłuszcz_roślinny,174.1,160.0,2.0,14.66,8.53,6.7,na_zimno,,,LINIOWY,USDA SR Legacy,171705.0,"Avocados, raw, all commercial varieties"
P070,Tahini,tłuszcze,orzechy_pasty,636.6,595.0,17.0,53.76,21.19,9.3,na_zimno,sezam,,LINIOWY,USDA SR Legacy,170189.0,"Seeds, sesame butter, tahini, from roasted and toasted kernels (most common type)"
P071,Oliwki czarne,tłuszcze,dodatek_tłuszczowy,125.6,116.0,0.84,10.9,6.04,1.6,na_zimno,,,TŁUMIONY,USDA SR Legacy,169094.0,"Olives, ripe, canned (small-extra large)"
P072,Mleczko kokosowe,tłuszcze,dodatek_tłuszczowy,211.3,197.0,2.02,21.33,2.81,0.0,gotowanie,,,TŁUMIONY,USDA SR Legacy,170173.0,"Nuts, coconut milk, canned (liquid expressed from grated meat and water)"
P073,Gorzka czekolada 70-85%,słodkie,słodycze,598.4,598.0,7.79,42.63,45.9,10.9,na_zimno,mleko?,,DYSKRETNY,USDA SR Legacy,170273.0,"Chocolate, dark, 70-85% cacao solids"
P074,Brokuł,warzywa,warzywa_gotowane,41.2,34.0,2.82,0.37,6.64,2.6,"gotowanie,pieczenie",,,TŁUMIONY,USDA SR Legacy,170379.0,"Broccoli, raw"
P075,Kalafior,warzywa,warzywa_gotowane,30.1,25.0,1.92,0.28,4.97,2.0,"gotowanie,pieczenie",,,TŁUMIONY,USDA SR Legacy,169986.0,"Cauliflower, raw"
P076,Szpinak świeży,warzywa,warzywa_liściaste,29.5,23.0,2.86,0.39,3.63,2.2,"na_zimno,smażenie",,,TŁUMIONY,USDA SR Legacy,168462.0,"Spinach, raw"
P077,Pomidor,warzywa,warzywa_surowe,20.9,18.0,0.88,0.2,3.89,1.2,na_zimno,,,TŁUMIONY,USDA SR Legacy,170457.0,"Tomatoes, red, ripe, raw, year round average"
P078,Pomidory krojone z puszki,warzywa,pomidory_przetwory,19.3,16.0,0.79,0.25,3.47,1.9,gotowanie,,,TŁUMIONY,USDA SR Legacy,170051.0,"Tomatoes, red, ripe, canned, packed in tomato juice"
P079,Passata pomidorowa,warzywa,pomidory_przetwory,44.4,38.0,1.65,0.21,8.98,1.9,gotowanie,,,TŁUMIONY,USDA SR Legacy,170460.0,"Tomato products, canned, puree, without salt added"
P080,Koncentrat pomidorowy,warzywa,pomidory_przetwory,97.2,82.0,4.32,0.47,18.91,4.1,gotowanie,,,STAŁY,USDA SR Legacy,170459.0,"Tomato products, canned, paste, without salt added (Includes foods for USDA's Food Distribution Program)"
P081,Ogórek,warzywa,warzywa_surowe,18.1,15.0,0.65,0.11,3.63,0.5,na_zimno,,,TŁUMIONY,USDA SR Legacy,168409.0,"Cucumber, with peel, raw"
P082,Papryka czerwona,warzywa,warzywa_surowe,30.8,26.0,0.99,0.3,6.03,2.1,"na_zimno,smażenie,pieczenie",,,TŁUMIONY,USDA SR Legacy,170108.0,"Peppers, sweet, red, raw"
P083,Cebula,warzywa,warzywa_aromat,42.7,40.0,1.1,0.1,9.34,1.7,"smażenie,gotowanie",,,TŁUMIONY,USDA SR Legacy,170000.0,"Onions, raw"
P084,Czosnek,warzywa,przyprawa,162.2,149.0,6.36,0.5,33.06,2.1,"smażenie,gotowanie",,,STAŁY,USDA SR Legacy,169230.0,"Garlic, raw"
P085,Marchew,warzywa,warzywa_gotowane,44.2,41.0,0.93,0.24,9.58,2.8,"gotowanie,na_zimno",,,TŁUMIONY,USDA SR Legacy,170393.0,"Carrots, raw"
P086,Cukinia,warzywa,warzywa_gotowane,20.2,17.0,1.21,0.32,3.11,1.0,"smażenie,pieczenie",,,TŁUMIONY,USDA SR Legacy,169291.0,"Squash, summer, zucchini, includes skin, raw"
P087,Pieczarki,warzywa,warzywa_gotowane,28.5,22.0,3.09,0.34,3.26,1.0,smażenie,,,TŁUMIONY,USDA SR Legacy,169251.0,"Mushrooms, white, raw"
P088,Sałata,warzywa,warzywa_liściaste,18.3,15.0,1.36,0.15,2.87,1.3,na_zimno,,,TŁUMIONY,USDA SR Legacy,169249.0,"Lettuce, green leaf, raw"
P089,Rukola,warzywa,warzywa_liściaste,30.9,25.0,2.58,0.66,3.65,1.6,na_zimno,,,TŁUMIONY,USDA SR Legacy,169387.0,"Arugula, raw"
P090,Kapusta biała,warzywa,warzywa_gotowane,29.2,25.0,1.28,0.1,5.8,2.5,"gotowanie,na_zimno",,,TŁUMIONY,USDA SR Legacy,169975.0,"Cabbage, raw"
P091,Kapusta kiszona,warzywa,kiszonki,22.0,19.0,0.91,0.14,4.28,2.9,na_zimno,,,TŁUMIONY,USDA SR Legacy,169279.0,"Sauerkraut, canned, solids and liquids"
P092,Ogórek kiszony,warzywa,kiszonki,14.3,12.0,0.5,0.3,2.41,1.0,na_zimno,,,TŁUMIONY,USDA SR Legacy,168558.0,"Pickles, cucumber, dill or kosher dill"
P093,Burak,warzywa,warzywa_gotowane,46.2,43.0,1.61,0.17,9.56,2.8,"gotowanie,pieczenie",,,TŁUMIONY,USDA SR Legacy,169145.0,"Beets, raw"
P094,Fasolka szparagowa,warzywa,warzywa_gotowane,37.2,31.0,1.83,0.22,6.97,2.7,gotowanie,,,TŁUMIONY,USDA SR Legacy,169961.0,"Beans, snap, green, raw"
P095,Groszek zielony (mrożony),warzywa,warzywa_gotowane,79.0,77.0,5.22,0.4,13.62,4.5,gotowanie,,,TŁUMIONY,USDA SR Legacy,170016.0,"Peas, green, frozen, unprepared (Includes foods for USDA's Food Distribution Program)"
P096,Kukurydza z puszki,warzywa,warzywa_surowe,77.5,67.0,2.29,1.22,14.34,2.0,na_zimno,,,TŁUMIONY,USDA SR Legacy,169214.0,"Corn, sweet, yellow, canned, whole kernel, drained solids"
P097,Dynia,warzywa,warzywa_gotowane,30.9,26.0,1.0,0.1,6.5,0.5,"pieczenie,gotowanie",,,TŁUMIONY,USDA SR Legacy,168448.0,"Pumpkin, raw"
P098,Bakłażan,warzywa,warzywa_gotowane,29.1,25.0,0.98,0.18,5.88,3.0,pieczenie,,,TŁUMIONY,USDA SR Legacy,169228.0,"Eggplant, raw"
P099,Por,warzywa,warzywa_aromat,65.3,61.0,1.5,0.3,14.15,1.8,gotowanie,,,TŁUMIONY,USDA SR Legacy,169246.0,"Leeks, (bulb and lower leaf-portion), raw"
P100,Seler naciowy,warzywa,warzywa_surowe,16.2,14.0,0.69,0.17,2.97,1.6,"na_zimno,gotowanie",,,TŁUMIONY,USDA SR Legacy,169988.0,"Celery, raw"
P101,Mieszanka warzyw mrożonych,warzywa,warzywa_gotowane,71.9,72.0,3.33,0.52,13.47,4.0,gotowanie,,,TŁUMIONY,USDA SR Legacy,170471.0,"Vegetables, mixed, frozen, unprepared"
P102,Natka pietruszki,warzywa,przyprawa,44.3,36.0,2.97,0.79,6.33,3.3,na_zimno,,,STAŁY,USDA SR Legacy,170416.0,"Parsley, fresh"
P103,Koperek,warzywa,przyprawa,52.0,43.0,3.46,1.12,7.02,2.1,na_zimno,,,STAŁY,USDA SR Legacy,172233.0,"Dill weed, fresh"
P104,Szczypiorek,warzywa,przyprawa,37.0,30.0,3.27,0.73,4.35,2.5,na_zimno,,,STAŁY,USDA SR Legacy,169994.0,"Chives, raw"
P105,Banan,owoce,owoce,98.7,89.0,1.09,0.33,22.84,2.6,na_zimno,,,DYSKRETNY,USDA SR Legacy,173944.0,"Bananas, raw"
P106,Jabłko,owoce,owoce,57.8,52.0,0.26,0.17,13.81,2.4,"na_zimno,pieczenie",,,DYSKRETNY,USDA SR Legacy,171688.0,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)"
P107,Borówki,owoce,owoce_jagodowe,63.9,57.0,0.74,0.33,14.49,2.4,na_zimno,,,TŁUMIONY,USDA SR Legacy,171711.0,"Blueberries, raw"
P108,Truskawki,owoce,owoce_jagodowe,36.1,32.0,0.67,0.3,7.68,2.0,na_zimno,,,TŁUMIONY,USDA SR Legacy,167762.0,"Strawberries, raw"
P109,Maliny,owoce,owoce_jagodowe,58.4,52.0,1.2,0.65,11.94,6.5,na_zimno,,,TŁUMIONY,USDA SR Legacy,167755.0,"Raspberries, raw"
P110,Owoce jagodowe mrożone,owoce,owoce_jagodowe,56.1,51.0,0.42,0.64,12.17,2.7,"na_zimno,gotowanie",,,TŁUMIONY,USDA SR Legacy,173950.0,"Blueberries, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)"
P111,Gruszka,owoce,owoce,63.6,57.0,0.36,0.14,15.23,3.1,na_zimno,,,DYSKRETNY,USDA SR Legacy,169118.0,"Pears, raw"
P112,Pomarańcza,owoce,owoce,51.8,47.0,0.94,0.12,11.75,2.4,na_zimno,,,DYSKRETNY,USDA SR Legacy,169097.0,"Oranges, raw, all commercial varieties"
P113,Kiwi,owoce,owoce,67.9,61.0,1.14,0.52,14.66,3.0,na_zimno,,,DYSKRETNY,USDA SR Legacy,168153.0,"Kiwifruit, green, raw"
P114,Winogrona,owoce,owoce,76.7,69.0,0.72,0.16,18.1,0.9,na_zimno,,,TŁUMIONY,USDA SR Legacy,174683.0,"Grapes, red or green (European type, such as Thompson seedless), raw"
P115,Mango,owoce,owoce,66.6,60.0,0.82,0.38,14.98,1.6,na_zimno,,,TŁUMIONY,USDA SR Legacy,169910.0,"Mangos, raw"
P116,Daktyle,słodkie,słodzik,308.5,277.0,1.81,0.15,74.97,6.7,na_zimno,,,DYSKRETNY,USDA SR Legacy,168191.0,"Dates, medjool"
P117,Rodzynki,słodkie,słodzik,332.7,299.0,3.3,0.25,79.32,4.5,na_zimno,,,TŁUMIONY,USDA SR Legacy,168165.0,"Raisins, dark, seedless (Includes foods for USDA's Food Distribution Program)"
P118,Sok z cytryny,dodatki,przyprawa,31.2,22.0,0.35,0.24,6.9,0.3,na_zimno,,,STAŁY,USDA SR Legacy,167747.0,"Lemon juice, raw"
P119,Kakao gorzkie,dodatki,przyprawa,433.3,228.0,19.6,13.7,57.9,37.0,"na_zimno,gotowanie",,,STAŁY,USDA SR Legacy,169593.0,"Cocoa, dry powder, unsweetened"
P120,Cynamon,dodatki,przyprawa,349.5,247.0,3.99,1.24,80.59,53.1,na_zimno,,,STAŁY,USDA SR Legacy,171320.0,"Spices, cinnamon, ground"
P121,Sos sojowy,dodatki,sos,57.4,53.0,8.14,0.57,4.93,0.8,smażenie,"soja,gluten",gluten,STAŁY,USDA SR Legacy,174277.0,Soy sauce made from soy and wheat (shoyu)
P122,Musztarda,dodatki,sos,68.3,60.0,3.74,3.34,5.83,4.0,na_zimno,gorczyca,,STAŁY,USDA SR Legacy,172234.0,"Mustard, prepared, yellow"
P123,Ketchup,dodatki,sos,114.7,101.0,1.04,0.1,27.4,0.3,na_zimno,,,STAŁY,USDA SR Legacy,168556.0,Catsup
P124,Ocet jabłkowy,dodatki,przyprawa,3.7,21.0,0.0,0.0,0.93,0.0,na_zimno,,,STAŁY,USDA SR Legacy,173469.0,"Vinegar, cider"
P125,Bulion warzywny,dodatki,płyn,5.3,5.0,0.24,0.07,0.93,0.0,gotowanie,,,STAŁY,USDA SR Legacy,171583.0,"Soup, vegetable broth, ready to serve"
P126,Sól,dodatki,przyprawa,0.0,0.0,0.0,0.0,0.0,0.0,*,,,STAŁY,USDA SR Legacy,173468.0,"Salt, table"
P127,Pieprz czarny,dodatki,przyprawa,326.7,251.0,10.39,3.26,63.95,25.3,*,,,STAŁY,USDA SR Legacy,170931.0,"Spices, pepper, black"
P128,Papryka słodka mielona,dodatki,przyprawa,388.5,282.0,14.14,12.89,53.99,34.9,*,,,STAŁY,USDA SR Legacy,171329.0,"Spices, paprika"
P129,Curry (mieszanka),dodatki,przyprawa,406.6,325.0,14.29,14.01,55.83,53.2,*,,,STAŁY,USDA SR Legacy,170924.0,"Spices, curry powder"
P130,Oregano suszone,dodatki,przyprawa,350.2,265.0,9.0,4.28,68.92,42.5,*,,,STAŁY,USDA SR Legacy,171328.0,"Spices, oregano, dried"
P131,Imbir świeży,dodatki,przyprawa,85.1,80.0,1.82,0.75,17.77,2.0,"smażenie,gotowanie",,,STAŁY,USDA SR Legacy,169231.0,"Ginger root, raw"
P132,Twaróg półtłusty,nabiał,nabiał_chudy,131.9,133.0,18.7,4.7,3.7,0.0,"na_zimno,pieczenie",mleko,"dairy,lactose",LINIOWY,"MANUAL_PL (tabele IŻŻ / etykiety, do weryfikacji)",,
P133,Twaróg chudy,nabiał,nabiał_chudy,97.7,99.0,19.8,0.5,3.5,0.0,"na_zimno,pieczenie",mleko,"dairy,lactose",LINIOWY,"MANUAL_PL (tabele IŻŻ / etykiety, do weryfikacji)",,
P134,Odżywka białkowa WPC 80,suplementy,białko_proszek,386.0,380.0,75.0,6.0,8.0,0.0,na_zimno,mleko,dairy,LINIOWY,"MANUAL_PL (tabele IŻŻ / etykiety, do weryfikacji)",,
